2026-04-07 17:07:43,418 | watchdog             | INFO     |   Config path:        C:\Users\mohan\OneDrive\Desktop\E-Commerce Market Dynamics & XAI Forecasting Engine\Web Scrapper\config\config.json
2026-04-07 17:07:43,418 | watchdog             | INFO     |   Developer:          mohannad_zahra
2026-04-07 17:07:43,418 | watchdog             | INFO     |   Scraper:            C:\Users\mohan\AppData\Local\Programs\Python\Python313\python.exe C:\Users\mohan\OneDrive\Desktop\E-Commerce Market Dynamics & XAI Forecasting Engine\Web Scrapper\scraper.py
2026-04-07 17:07:43,418 | watchdog             | INFO     |   Health check:       every 5s
2026-04-07 17:07:43,418 | watchdog             | INFO     |   Max restarts:       5
2026-04-07 17:07:43,418 | watchdog             | INFO     |   Heartbeat cadence:  every 1 health checks
2026-04-07 17:07:43,419 | watchdog             | INFO     | =================================================================
2026-04-07 17:07:43,419 | watchdog             | INFO     | [WATCHDOG_STATUS] state=STARTUP pid=n/a uptime_s=0 crashes=0 restarts_used=0/5 restarts_remaining=5 detail=watchdog loop initialized
2026-04-07 17:07:43,419 | watchdog             | INFO     | Launching scraper: C:\Users\mohan\AppData\Local\Programs\Python\Python313\python.exe C:\Users\mohan\OneDrive\Desktop\E-Commerce Market Dynamics & XAI Forecasting Engine\Web Scrapper\scraper.py
2026-04-07 17:07:43,425 | watchdog             | INFO     | Scraper launched successfully (PID=27120)
2026-04-07 17:07:43,425 | watchdog             | INFO     | [WATCHDOG_STATUS] state=LAUNCHED pid=27120 uptime_s=0 crashes=0 restarts_used=0/5 restarts_remaining=5 detail=child process started
2026-04-07 17:07:48,425 | watchdog             | INFO     | [WATCHDOG_STATUS] state=HEALTHY pid=27120 uptime_s=5 crashes=0 restarts_used=0/5 restarts_remaining=5 detail=monitor_tick=1 health_interval_s=5
2026-04-07 17:07:53,426 | watchdog             | INFO     | [WATCHDOG_STATUS] state=HEALTHY pid=27120 uptime_s=10 crashes=0 restarts_used=0/5 restarts_remaining=5 detail=monitor_tick=2 health_interval_s=5
2026-04-07 17:07:58,427 | watchdog             | INFO     | [WATCHDOG_STATUS] state=HEALTHY pid=27120 uptime_s=15 crashes=0 restarts_used=0/5 restarts_remaining=5 detail=monitor_tick=3 health_interval_s=5
2026-04-07 17:08:03,428 | watchdog             | INFO     | [WATCHDOG_STATUS] state=HEALTHY pid=27120 uptime_s=20 crashes=0 restarts_used=0/5 restarts_remaining=5 detail=monitor_tick=4 health_interval_s=5
2026-04-07 17:08:08,429 | watchdog             | INFO     | [WATCHDOG_STATUS] state=HEALTHY pid=27120 uptime_s=25 crashes=0 restarts_used=0/5 restarts_remaining=5 detail=monitor_tick=5 health_interval_s=5
2026-04-07 17:08:13,429 | watchdog             | INFO     | [WATCHDOG_STATUS] state=HEALTHY pid=27120 uptime_s=30 crashes=0 restarts_used=0/5 restarts_remaining=5 detail=monitor_tick=6 health_interval_s=5
2026-04-07 17:08:18,430 | watchdog             | INFO     | [WATCHDOG_STATUS] state=HEALTHY pid=27120 uptime_s=35 crashes=0 restarts_used=0/5 restarts_remaining=5 detail=monitor_tick=7 health_interval_s=5
